"DisplayName","DisplayVersion","Publisher","InstallDate"
"AutoHotkey","2.0.19","AutoHotkey Foundation LLC",
"Docker Desktop","4.46.0","Docker Inc.",
"Git","2.51.0","The Git Development Community","20250918"
"Notepad++ (64-bit x64)","8.8.5","Notepad++ Team",
"Microsoft OneDrive","25.159.0817.0003","Microsoft Corporation",
"OpenSSL 3.5.2 (64-bit)","3.5.2","OpenSSL Win64 Installer Team","20250916"
"Microsoft Office Professional Plus 2024 - en-us","16.0.19127.20240","Microsoft Corporation",
"Microsoft Office Professional Plus 2024 - pt-br","16.0.19127.20240","Microsoft Corporation",
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","72.48.39204","Microsoft Corporation","20250910"
"Microsoft .NET AppHost Pack - 8.0.20 (x64_x86)","64.80.39230","Microsoft Corporation","20250918"
"IIS Express Application Compatibility Database for x64",,,
"IIS 10.0 Express","10.0.10007","Microsoft Corporation","20250915"
"Microsoft.NET.Sdk.macOS.Manifest-9.0.100 (x64)","15.0.9617","Microsoft Corporation","20250903"
"Python 3.12.10 Documentation (64-bit)","3.12.10150.0","Python Software Foundation","20250915"
"Python 3.12.7 Core Interpreter (64-bit)","3.12.7150.0","Python Software Foundation","20250916"
"Python 3.14.0rc2 Documentation (64-bit)","3.14.122.0","Python Software Foundation","20250915"
"Warsaw 2.44.0.16 64 bits","2.44.0.16","Topaz","20250918"
"Oracle VirtualBox 7.2.0","7.2.0","Oracle and/or its affiliates","20250901"
"Python 3.13.7 Add to Path (64-bit)","3.13.7150.0","Python Software Foundation","20250918"
"Python 3.14.0rc2 pip Bootstrap (64-bit)","3.14.122.0","Python Software Foundation","20250915"
"Windows App Certification Kit Native Components","10.1.26100.4654","Microsoft Corporation","20250918"
"Microsoft ASP.NET Core 8.0.20 Targeting Pack (x64)","8.0.20.25420","Microsoft Corporation","20250918"
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)","64.136.23253","Microsoft Corporation","20250903"
"Microsoft .NET 9.0 Templates 9.0.305 (x64)","36.11.52288","Microsoft Corporation","20250910"
"Python 3.12.7 Documentation (64-bit)","3.12.7150.0","Python Software Foundation","20250916"
"Microsoft.NET.Sdk.Maui.Manifest-9.0.100 (x64)","9.0.0","Microsoft Corporation","20250903"
"Microsoft .NET AppHost Pack - 9.0.9 (x64)","72.36.39216","Microsoft Corporation","20250910"
"Python 3.13.7 Test Suite (64-bit debug)","3.13.7150.0","Python Software Foundation","20250918"
"vs_communityx64msi","17.14.36025","Microsoft Corporation","20250918"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-9.0.100 (x64)","18.0.9617","Microsoft Corporation","20250903"
"Python 3.13.7 Tcl/Tk Support (64-bit symbols)","3.13.7150.0","Python Software Foundation","20250918"
"Microsoft .NET Runtime - 8.0.20 (x64)","64.80.39230","Microsoft Corporation","20250918"
"Microsoft Command Line Utilities 15 for SQL Server","15.0.1300.359","Microsoft Corporation","20250918"
"Python 3.13.7 Freethreaded Interpreter (64-bit symbols)","3.13.7150.0","Python Software Foundation","20250918"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.50.35503","14.50.35503","Microsoft Corporation","20250915"
"Microsoft .NET AppHost Pack - 9.0.9 (x64_x86)","72.36.39216","Microsoft Corporation","20250910"
"Python 3.12.10 Add to Path (64-bit)","3.12.10150.0","Python Software Foundation","20250915"
"Microsoft ASP.NET Core 9.0.9 Targeting Pack (x64)","9.0.9.25420","Microsoft Corporation","20250910"
"Python 3.13.7 Standard Library (64-bit debug)","3.13.7150.0","Python Software Foundation","20250918"
"Microsoft ODBC Driver 17 for SQL Server","17.10.6.1","Microsoft Corporation","20250918"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","72.0.39216","Microsoft Corporation","20250910"
"Microsoft .NET Targeting Pack - 8.0.20 (x64)","64.80.39230","Microsoft Corporation","20250918"
"Microsoft .NET Toolset 9.0.305 (x64)","36.9.52288","Microsoft Corporation","20250910"
"vs_minshellx64msi","17.14.36301","Microsoft Corporation","20250918"
"Python 3.13.7 Development Libraries (64-bit debug)","3.13.7150.0","Python Software Foundation","20250918"
"vs_devenx64vmsi","17.14.36015","Microsoft Corporation","20250918"
"vs_Graphics_Singletonx64","17.14.36015","Microsoft Corporation","20250918"
"Microsoft .NET SDK 9.0.305 (x64) from Visual Studio","9.3.525.42112","Microsoft Corporation","20250918"
"Python 3.13.7 Tcl/Tk Support (64-bit debug)","3.13.7150.0","Python Software Foundation","20250918"
"Microsoft System CLR Types para SQL Server 2019","15.0.2000.5","Microsoft Corporation","20250918"
"Java SE Development Kit 8 Update 461 (64-bit)","8.0.4610.11","Oracle Corporation","20250916"
"Microsoft .NET AppHost Pack - 9.0.9 (x64_arm64)","72.36.39216","Microsoft Corporation","20250910"
"Python 3.12.7 pip Bootstrap (64-bit)","3.12.7150.0","Python Software Foundation","20250916"
"Python 3.13.7 Core Interpreter (64-bit symbols)","3.13.7150.0","Python Software Foundation","20250918"
"Python 3.13.7 Test Suite (64-bit)","3.13.7150.0","Python Software Foundation","20250918"
"VS JIT Debugger","17.0.157.0","Microsoft Corporation","20250918"
"Microsoft.NET.Sdk.Android.Manifest-9.0.100 (x64)","35.0.78","Microsoft Corporation","20250918"
"icecap_collection_x64","17.14.36015","Microsoft Corporation","20250918"
"Microsoft Visual Studio Installer","3.14.2086.54749","Microsoft Corporation","20250918"
"Python 3.13.7 Standard Library (64-bit symbols)","3.13.7150.0","Python Software Foundation","20250918"
"Java 8 Update 461 (64-bit)","8.0.4610.11","Oracle Corporation","20250916"
"Microsoft.NET.Sdk.iOS.Manifest-9.0.100 (x64)","18.0.9617","Microsoft Corporation","20250903"
"Microsoft Windows Desktop Runtime - 9.0.9 (x64)","72.36.39253","Microsoft Corporation","20250910"
"Python 3.12.10 Tcl/Tk Support (64-bit)","3.12.10150.0","Python Software Foundation","20250915"
"Microsoft .NET Host FX Resolver - 9.0.9 (x64)","72.36.39216","Microsoft Corporation","20250910"
"Microsoft.NET.Sdk.Android.Manifest-9.0.100 (x64)","35.0.7","Microsoft Corporation","20250903"
"Microsoft .NET 8.0 Templates 8.0.414 (x64)","32.13.52286","Microsoft Corporation","20250918"
"Python 3.13.7 Core Interpreter (64-bit debug)","3.13.7150.0","Python Software Foundation","20250918"
"Microsoft Windows Desktop Targeting Pack - 9.0.9 (x64)","72.36.39253","Microsoft Corporation","20250910"
"Python 3.13.7 Executables (64-bit symbols)","3.13.7150.0","Python Software Foundation","20250918"
"Microsoft.NET.Sdk.tvOS.Manifest-9.0.100 (x64)","18.5.9214","Microsoft Corporation","20250918"
"Microsoft .NET Host - 9.0.9 (x64)","72.36.39216","Microsoft Corporation","20250910"
"Windows Subsystem for Linux","2.6.1.0","Microsoft Corporation","20250912"
"Python 3.12.7 Executables (64-bit)","3.12.7150.0","Python Software Foundation","20250916"
"Python 3.14.0rc2 Standard Library (64-bit)","3.14.122.0","Python Software Foundation","20250915"
"Office 16 Click-to-Run Extensibility Component","16.0.19127.20154","Microsoft Corporation","20250917"
"Office 16 Click-to-Run Localization Component","16.0.19127.20154","Microsoft Corporation","20250917"
"Python 3.12.7 Test Suite (64-bit)","3.12.7150.0","Python Software Foundation","20250916"
"Python 3.14.0rc2 Development Libraries (64-bit)","3.14.122.0","Python Software Foundation","20250915"
"Python 3.13.7 Test Suite (64-bit symbols)","3.13.7150.0","Python Software Foundation","20250918"
"Python 3.13.7 Development Libraries (64-bit)","3.13.7150.0","Python Software Foundation","20250918"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","72.48.39204","Microsoft Corporation","20250910"
"Python 3.12.7 Tcl/Tk Support (64-bit)","3.12.7150.0","Python Software Foundation","20250916"
"Microsoft .NET AppHost Pack - 8.0.20 (x64)","64.80.39230","Microsoft Corporation","20250918"
"Python 3.12.7 Add to Path (64-bit)","3.12.7150.0","Python Software Foundation","20250916"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113","Microsoft Corporation","20250903"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.25.18302","Microsoft","20250831"
"Microsoft.NET.Sdk.Maui.Manifest-9.0.100 (x64)","9.0.82","Microsoft Corporation","20250918"
"Application Verifier x64 External Package (DesktopEditions)","10.1.26100.4654","Microsoft","20250918"
"IIS Express Application Compatibility Database for x86",,,
"Microsoft Build of OpenJDK  17.0.14+7 (x64)","17.0.14.7","Microsoft","20250915"
"vs_minshellinteropx64msi","17.14.36015","Microsoft Corporation","20250918"
"Python 3.14.0rc2 Test Suite (64-bit)","3.14.122.0","Python Software Foundation","20250915"
